Renda Familiar,Número de pessoas em casa,Gastos,,,,,,,,,,
1000,1,800,,,,,,,,,,
2000,1,1400,,,,,,,,,,
2600,1,1900,,,,,,,,,,
4200,1,4300,,,,,,,,,,
5000,1,4000,,,,,,,,,,
5500,1,4700,,,,,,,,,,
2000,2,2100,,,,,,,,,,
3100,2,3100,,,,,,,,,,
4000,2,3900,,,,,,,,,,
4500,2,4000,,,,,,,,,,
5000,2,5100,,,,,,,,,,
6000,2,4500,,,,,,,,,,
3200,3,4000,,,,,,,,,,
5500,3,5600,,,,,,,,,,
1000,4,1700,,,,,,,,,,
1500,4,2250,,,,,,,,,,
2800,4,3100,,,,,,,,,,
3100,4,3200,,,,,,,,,,
3500,4,3500,,,,,,,,,,
4000,4,3900,,,,,,,,,,
1000,5,2700,,,,,,,,,,
3100,5,4000,,,,,,,,,,
